interaction_id,hcp_id,rep_id,channel,account_id,product_id,discussion_topic,duration_minutes,objective_type,objection_raised_flag,follow_up_required_flag,call_outcome,crm_note_raw,next_step_raw,interaction_datetime
INT00103,HCP0010,REP012,Email,ACC009,PRD007,Safety,4,Detail,0,1,Needs Follow-up,End dog send.,Share payer update,2026-01-22T11:45:00
INT00130,HCP0047,REP001,Virtual,ACC010,PRD001,Efficacy,20,Medical question,0,0,No Access,Process administration mother in admit reveal movie. Admit spend purpose south travel.,Schedule next visit,2026-01-23T12:45:00
INT00005,HCP0023,REP002,In-person,ACC005,PRD007,Safety,8,Access discussion,1,1,No Access,Company participant him raise.,Send clinical deck,2026-01-26T15:45:00
INT00111,HCP0035,REP010,In-person,ACC003,PRD002,Dosing,18,Sample request,0,0,Positive,And general as yes. Worry line expert conference.,No action,2026-01-30T11:45:00
INT00065,HCP0019,REP017,In-person,ACC009,PRD007,Patient Selection,22,Follow-up,1,0,Neutral,Education send course ground sit tend forward. Son join hundred keep.,Arrange MSL follow-up,2026-01-30T16:00:00
INT00181,HCP0018,REP004,Virtual,ACC001,PRD009,Safety,8,Access discussion,0,0,Neutral,Force only shake power poor financial join.,Send clinical deck,2026-02-02T11:30:00
INT00076,HCP0010,REP012,Email,ACC009,PRD008,Efficacy,21,Sample request,0,0,Needs Follow-up,Campaign stop necessary onto should can. Treat area buy check clearly follow remember.,No action,2026-02-08T13:15:00
INT00089,HCP0027,REP008,In-person,ACC004,PRD004,Access,17,Access discussion,0,1,Positive,Occur red course.,Send clinical deck,2026-02-09T08:30:00
INT00061,HCP0023,REP002,Email,ACC005,PRD006,Trial Data,13,Detail,1,0,Needs Follow-up,Player wonder effect. Ground attack drop.,No action,2026-02-09T18:30:00
INT00106,HCP0045,REP010,Virtual,ACC009,PRD009,Trial Data,11,Access discussion,0,1,Positive,Check security paper indeed near likely Mr.,No action,2026-02-12T18:00:00
INT00161,HCP0026,REP013,Virtual,ACC012,PRD009,Dosing,22,Follow-up,0,0,Neutral,Member of environmental myself yard my series. National wrong bill stop seem fear.,Share payer update,2026-02-16T15:30:00
INT00136,HCP0002,REP005,Virtual,ACC006,PRD007,Access,20,Access discussion,0,0,Neutral,Nor allow up fire which onto sell.,Schedule next visit,2026-02-17T08:45:00
INT00118,HCP0030,REP007,Virtual,ACC002,PRD004,Efficacy,11,Follow-up,0,1,Needs Follow-up,Our pull fly few century produce determine. Every news option same compare.,Schedule next visit,2026-02-19T13:15:00
INT00007,HCP0028,REP013,Email,ACC002,PRD001,Patient Selection,13,Sample request,0,0,No Access,Lead few yourself table blood. Occur offer yeah far within probably.,No action,2026-02-21T08:45:00
INT00077,HCP0012,REP011,Virtual,ACC007,PRD010,Trial Data,8,Follow-up,0,1,No Access,Thus suffer economy play nearly by field. Behavior political option oil commercial person top.,Send clinical deck,2026-02-21T10:45:00
INT00127,HCP0042,REP009,Email,ACC004,PRD005,Efficacy,16,Sample request,0,1,Positive,Cause national contain threat. Model stuff avoid stand.,Send clinical deck,2026-02-23T11:00:00
INT00186,HCP0002,REP014,In-person,ACC006,PRD007,Safety,12,Sample request,0,1,No Access,Friend investment model.,Schedule next visit,2026-02-27T15:30:00
INT00053,HCP0041,REP015,Virtual,ACC002,PRD003,Trial Data,6,Follow-up,1,1,No Access,Happy water worker left example. Me industry class current painting their.,No action,2026-03-02T13:00:00
INT00153,HCP0032,REP008,In-person,ACC001,PRD004,Efficacy,3,Sample request,1,0,Neutral,Attack and represent against gas body. Upon scientist might necessary.,Schedule next visit,2026-03-06T13:45:00
INT00144,HCP0040,REP002,Email,ACC005,PRD002,Efficacy,16,Follow-up,0,0,Neutral,As itself inside machine. Guess want result many.,Send clinical deck,2026-03-06T18:00:00
INT00125,HCP0040,REP011,Phone,ACC005,PRD007,Patient Selection,21,Medical question,0,1,No Access,Fine animal ten scientist administration network.,Send clinical deck,2026-03-14T15:00:00
INT00193,HCP0048,REP015,Phone,ACC010,PRD004,Safety,6,Access discussion,1,0,No Access,Usually agency must.,Schedule next visit,2026-03-17T09:00:00
INT00027,HCP0045,REP008,In-person,ACC009,PRD003,Trial Data,5,Medical question,0,0,Positive,Interview professor hear check type attack.,Share payer update,2026-03-17T18:45:00
INT00177,HCP0026,REP002,Phone,ACC012,PRD010,Dosing,9,Medical question,1,0,No Access,Position six soldier dream history. Matter order month within would.,Share payer update,2026-03-20T08:45:00
INT00138,HCP0015,REP002,Virtual,ACC011,PRD001,Efficacy,9,Sample request,0,0,Neutral,Join stuff future shoulder.,Arrange MSL follow-up,2026-03-24T11:15:00
INT00043,HCP0035,REP012,In-person,ACC003,PRD004,Trial Data,22,Sample request,0,0,Neutral,Order his oil west school American training occur.,Arrange MSL follow-up,2026-03-24T14:00:00
INT00031,HCP0015,REP005,Virtual,ACC011,PRD004,Access,22,Medical question,0,0,Needs Follow-up,Glass news boy everything.,Arrange MSL follow-up,2026-03-30T18:00:00
INT00004,HCP0031,REP002,Email,ACC006,PRD009,Access,5,Follow-up,0,1,Needs Follow-up,Really tough animal someone. Grow issue each include radio.,No action,2026-04-01T13:30:00
INT00150,HCP0044,REP007,In-person,ACC011,PRD003,Trial Data,4,Detail,0,1,Positive,Point be shoulder price great positive and worker. Whom former someone black better develop.,Arrange MSL follow-up,2026-04-07T17:45:00
INT00158,HCP0031,REP018,Virtual,ACC006,PRD001,Safety,8,Follow-up,0,0,Needs Follow-up,Institution main Mr try us community. Majority cell fire late.,Share payer update,2026-04-09T17:15:00
INT00016,HCP0047,REP017,Virtual,ACC010,PRD007,Access,7,Detail,1,0,Needs Follow-up,Onto risk those pressure street past. Allow have kitchen wear talk.,No action,2026-04-12T08:15:00
INT00026,HCP0005,REP017,Virtual,ACC005,PRD006,Dosing,12,Sample request,0,0,Positive,Result Democrat later direction fund law indeed.,Arrange MSL follow-up,2026-04-13T10:30:00
INT00183,HCP0020,REP014,Phone,ACC008,PRD009,Efficacy,10,Follow-up,0,0,No Access,Program price compare actually case.,Share payer update,2026-04-16T12:15:00
INT00012,HCP0029,REP007,Email,ACC004,PRD006,Patient Selection,11,Medical question,0,1,Needs Follow-up,Maybe evening clearly trial want whose far. Sound life away senior difficult put.,Send clinical deck,2026-04-17T16:15:00
INT00070,HCP0026,REP012,Virtual,ACC012,PRD005,Efficacy,19,Sample request,0,0,Positive,Painting quickly we. Know baby case happen fire everything.,Schedule next visit,2026-04-22T14:00:00
INT00154,HCP0009,REP018,Virtual,ACC004,PRD004,Access,5,Access discussion,0,0,Positive,Interview left something picture control price how. Third last involve above Democrat everything region somebody.,Send clinical deck,2026-04-27T14:15:00
INT00098,HCP0007,REP010,Phone,ACC004,PRD008,Access,8,Sample request,0,0,Neutral,Tree company think. Value already structure small.,Share payer update,2026-04-30T17:45:00
INT00033,HCP0001,REP004,Email,ACC012,PRD006,Access,4,Sample request,0,0,Neutral,Congress reflect finally.,Send clinical deck,2026-05-01T09:15:00
INT00198,HCP0021,REP002,Virtual,ACC006,PRD002,Access,16,Medical question,0,1,Neutral,System bed space fight relate. American structure foreign before eat green message quality.,Schedule next visit,2026-05-01T16:30:00
INT00185,HCP0014,REP015,Email,ACC012,PRD005,Access,17,Sample request,0,1,No Access,Head seek them run.,Arrange MSL follow-up,2026-05-02T13:00:00
INT00064,HCP0004,REP006,Phone,ACC008,PRD001,Safety,10,Follow-up,0,0,Needs Follow-up,Firm financial huge.,Send clinical deck,2026-05-02T13:45:00
INT00056,HCP0019,REP006,Virtual,ACC009,PRD005,Trial Data,21,Access discussion,0,1,Needs Follow-up,Apply maybe dog yes heart agreement.,Arrange MSL follow-up,2026-05-03T15:45:00
INT00115,HCP0014,REP018,Virtual,ACC012,PRD007,Safety,9,Sample request,0,0,Positive,Deal beyond almost our reflect.,Send clinical deck,2026-05-16T14:45:00
